STT	Phân Loại	Mã VTBB/NL	Tên VTBB/NL	Tên Trên Hóa Đơn VTBB/NL	Mã HH	Tên Sản phẩm (HH)
127	Thùng	THC0123	Thùng Korea 100g x 100 gói (46x39x21cm) - Trắng viền đen	TVZEB 800WP	HH0123	GC - II - 497 - Luta - Mancozeb xanh - 1kg - 20
128	Thùng	THC0124	Thùng Đại  Phúc Nông 1kg x 15 gói (50x35x30.5cm)- Trắng viền xanh dương	Vi lượng AV-CFC Plus	HH0124	GC - II - 498 - AU - Dưỡng chất hữu cơ (đâm chồi) - chai HD- 500ml - 40
129	Thùng	THC0125	Thùng chung SHINO 450, 500ml x 30 chai (48x40x21cm)- Trắng viền xanh lá 	Tikabamec 3.6EC	HH0125	LOT IDA Global - I - 503 - ĐL Kim Thuỷ 1 - Abamex (Pet tròn) (nước đục) - 450ml - 40
130	Thùng	THC0126	Thùng Korea chai 500ml x 40 chai (55x34.5x21.5cm) - Trắng viền xanh dương	Prima 04	HH0126	GC - I - 505 - Agriscience - Calcibor (Chai Pet) - 500ml - 40
131	Thùng	THC0127	Thùng chung SHINO 240, 250ml x 40 chai (53 x 33 x 14.5cm) - Trắng viền xanh lá	Tiger five 6.5EC	HH0127	GC - II - 506 - AGC - Redmite - diệt nhện (chai nhôm xanh) - 240ml - 40
132	Thùng	THC0128	Thùng Toàn cầu  Đạo Ôn - Vi Khuẩn 250ml x 2 x 20 cặp (54x35x17cm) - Nâu viền xanh dương	Chitin 3.6EC	HH0128	GC - II - 516 - Phúc Hưng -Thần hổ diệt sâu nhện (Nước trong) (chai PET tròn) - 450 ml - 40
133	Thùng	THC0129	Thùng Toàn cầu Cặp Đôi 10 trong 1 250ml x 2 x 25 cặp (55.5x31.5x18cm) - Nâu viền xanh lá	VD2	HH0129	GC - II - 517 - SH - Humiix (túi nhôm) - 1 Kg - 25
134	Thùng	THC0131	Thùng Sunrise chai tròn GLU150 Đỏ 900ml x 20 chai (48x38x23.5cm) - Trắng viền đỏ	Mekongvil 5SC	HH0131	GC - II - 518 - A Hoài - Annvil Duc (Chai HD cao cấp) - 1L - 20
135	Thùng	THC0130	Thùng MANCO SUNRISE 1kg x 20 gói (50 x 35 x 30.5cm) - Thùng trắng viền đỏ 	TVZEB 800WP	HH0130	GC - II - 519 - Phúc Hưng - Mancozeb Xanh - 1kg - 20
136	Thùng	THC0132	Thùng Sunrise chai tròn GLU200 Đỏ 900ml x 20 chai (48x38x23.5cm) - Trắng viền đỏ	TVZEB 800WP	HH0132	GC - II - 519 - Phúc Hưng - Mancozeb Xanh - 1kg - 20
137	Thùng	THC0133	Thùng Sunrise chai vuông GLU- Sunrise150 1L x 20 chai (40x36.5x23.5cm) - Trắng viền đỏ	TVZEB 800WP	HH0133	GC - II - 520 - Agriplant - Mancozeb xanh - 100gr - 100
138	Thùng	THC0134	Thùng  Sunrise chai vuông  GLU- Sunrise200 1L x 20 chai (40x36.5x23.5cm) - Trắng viền đỏ	Remy 19EC	HH0134	GC - II - 521 - Agriplant - Cynda (Pet vuông) - 450ml - 40
139	Thùng	THC0135	Thùng Sunrise chai nhôm  TOP Sunrise 240ml x 40 chai (45x30x18cm) - Trắng viền đỏ	Vi lượng Basel IDA 11	HH0135	GC - II - Agriplant - 522 - Bio Copper 150 - 165gr - 100
140	Thùng	THC0136	Thùng Thụy Sĩ chai tròn Vua cỏ bờ 900ml x 20 chai (48x38x23.5) - Trắng viền xanh lá 	Vi lượng Basel IDA 11	HH0136	GC - II - Agriplant - 522 - Bio Copper 150 - 165gr - 100
141	Thùng	THC0137	Thùng Thụy Sĩ chai tròn Sạch cỏ bờ 900ml x 20 chai (48x38x23.5) - Trắng viền xanh lá 	Kamycinjapane 20SL	HH0137	GC - II - 523 - Luta - Kamycinjapane 20SL (Pet tron) - 480ml - 40
142	Thùng	THC0138	Thùng DC chai Pet tròn 60ml x 100 chai (48.5x25x17.5cm) - Trắng	TOPZOLE 800WG	HH0138	GC - II - 524 - BM - Diệt đạo ôn cháy lá - 25 gr - 300
143	Thùng	THC0139	Thùng Agriscience chai tròn cao 500ml x 40 chai (55x34.5x21.5cm) - Trắng 	TOPZOLE 800WG	HH0139	GC - II - 524 - BM - Diệt đạo ôn cháy lá - 25 gr - 300
144	Thùng	THC0140	Thùng Sunrise chai tròn Siêu Đa Năng 100ml x 100 chai (52x26.5x22.5cm) - Trắng viền đỏ 	Vi lượng Basel IDA 46	HH0140	IDA Global - I - 525 - Amazon SC (Drone) (PET trong cao) - 450ml - 40
145	Thùng	THC0141	Thùng Visanto chai Pet vuông 240ml x 40 chai (47x36.5x15.5cm) - Trắng viền tím 	Remy 19EC	HH0141	GC - I - 527 - Thiên Di - Ema19 (Pet Vuông) - 450ml - 40
146	Thùng	THC0142	Thùng NEWTECH 500ml x 40 chai (63 x 39 x 21cm) - Trắng viền xanh lá  	Tikabamec 3.6EC	HH0142	GC - II - 528 - AGC - Gaba (Pet tròn) (nước đục) - 450ml - 40
147	Thùng	THC0143	Thùng Sunrise Sạch sâu 50gr x 200 gói (46 x 29 x 18.5cm) - Trắng viền đỏ 	Tikabamec 3.6EC	HH0143	GC - II - 529 - MK936 (Pet tròn) (nước đục) - 450ml - 40
148	Thùng	THC0144	Thùng Japan chai Pet 500ml x 30 hộp (51x42.5x20cm) - Trắng viền xanh dương	Pim.Pim 75WP	HH0144	IDA Global - I - 530.1 - Sức mạnh Tricyclazole - New 35gr - 300
149	Thùng	THC0145	Thùng Dr.Xanh Chai HD 500ml x 30 chai (42x35x24.5) - Trắng viền đen 	Pim.Pim 75WP	HH0145	IDA Global - I - 530.2 - Sức mạnh Tricyclazole - New 35gr - 300
150	Thùng	THC0146	Thùng Chai HD 500ml x 40 chai (60x38x20cm) - Thùng Trắng viền đen 	Pim.Pim 75WP	HH0146	IDA Global - I - 530.2 - Sức mạnh Tricyclazole - New 35gr - 300
151	Thùng	THC0147	Thùng Bellormar chai PET tròn 500ml x 40 chai (55x34.5x21.5cm) - Trắng viền đỏ	Prima 04	HH0147	GC - II - 531 - AGC - Bo.CaX (PET tròn) - 500ml - 40
152	Thùng	THC0148	Thùng HITACO chai nắp chụp tròn 1 Lít x 20 chai/thùng  -Trắng viền đỏ	TVZEB 800WP	HH0148	GC - II - 539 - Luta - Mancozeb vàng - 1kg - 20
153	Thùng	THC0149	Thùng trắng ABA chai HD tròn 100ml x 100 chai/thùng (45.5x45.5x14cm) - Trắng viền đen 	TVZEB 800WP	HH0149	GC - II - 539 - Luta - Mancozeb vàng - 1kg - 20
154	Thùng	THC0150	Thùng Rầy Rệp Sunrise 40 chai x 400ml (55x34.5x21.5) - Trắng đỏ	Prima 04	HH0150	GC - II - 540 - Luta - Myhu - 1 kg - 25
155	Thùng	THC0151	Thùng Hoàng Thắng chai 250ml x 40 chai (50x32x15.5 cm) - Trắng viền tím	TOPZOLE 800WG	HH0151	GC - I - 546 - AU - Diệt đạo ôn - 20gr - 300
156	Thùng	THC0152	Thùng Hoàng Thắng chai tròn 500ml x 40 chai (57.5x36.5x21.5cm) - Trắng viền tím	Remy 19EC	HH0152	GC - II - 551 - Huy Phát - Hufatin (PET vuông) - 450ml - 40
157	Thùng	THC0153	Thùng trắng ABA chai PET giả nhôm 120ml x 100 chai (51.5x26.5x23cm) - Trắng viền đen  	Vi lượng Slow Growth	HH0153	GC - II - 565 - A Thời GNH - Black Humixx - 1kg - 25
158	Thùng	THC0154	Thùng trắng ABA chai PET giả nhôm 250ml x 60 chai (56.5x34.5x18.5cm) - Trắng viền đen  	Vi lượng Slow Growth	HH0154	GC - II - 566 - A Thời GNH - Black Gold Humite - 1kg - 25
159	Thùng	THC0155	Thùng Thụy Sĩ cặp đôi Tìm Diệt 250ml x 2 x 20 cặp (54x35x17cm) - Trắng viền xanh 	Vi lượng Slow Growth	HH0155	GC - II - 567 - A Thời GNH - Hummax- 1kg - 25
160	Thùng	THC0156	Thùng Dùng Chung ABA 100g x100 gói (51x44x21cm) - Trắng	Vi lượng Slow Growth	HH0156	GC - II - 567 - A Thời GNH - Hummax- 1kg - 25
161	Thùng	THC0157	Thùng Dùng Chung ABA 1kg x 20 lon (60.5 x48.5 x21cm) - Trắng	Tikabamec 3.6EC	HH0157	GC - II - 570 - Ánh Dương - Tikabamec (Pet Vuông) (nước đục) - 450ml - 40
162	Thùng	THC0158	Thùng Cỏ Cháy Thế Hệ Mới Sunrise 4 can x 4.5 Lít  (40.5x28x32cm) - Trắng đỏ	Apple 700WP	HH0158	GC - II - 571 - BM - Apple 700WP - 100 gr - 100
163	Thùng	THC0159	Thùng 3.6 Sunrise  chai tròn 450ml x 40 chai  (47.5x37x20cm) - Trắng đỏ	Apple 700WP	HH0159	GC - II - 571 - BM - Apple 700WP - 100 gr - 100
164	Thùng	THC0160	Thùng Shino - BIM SHINO chai HD tròn 450ml x 30 chai  (45.5x38x21cm) - Trắng xanh dương	COCHAY 200SL	HH0160	GC - II - K - 572 - AGC - Cochay (chai PET vuông) - 1L - 20
165	Thùng	THI0161	Thùng IDA xanh lá chai HD tròn 250ml, 240ml, 200ml x 20 chai  (31.5x25.5x15cm) - Trắng xanh lá	Vi lượng Quantity New	HH0161	GC - II - 574 - A Thời GNH - Boke (Chai HD) - 500ml - 40
166	Thùng	THC0162	Thùng Dùng Chung ABA 100g x100 gói (47.5x41.5x28cm) - Trắng	Vi lượng Quantity New	HH0162	GC - II - 575 - A Thời GNH - Calbor (Chai HD) - 500ml - 40
167	Thùng	THC0163	Thùng Dùng Chung Hà Long 100ml x 100 chai (55x28x22cm) - Trắng	Vi lượng Quantity New	HH0163	GC - II - 576 - A Thời GNH - Chắc Hạt (Chai HD) - 1L - 20
168	Thùng	THI0164	Thùng IDA chai PET tròn cổ 43 450ml x 40 chai (62.5x38.5x20cm) - Trắng xanh lá	Vi lượng Quantity New	HH0164	GC - II - 577 - A Thời GNH - Flower + (Chai HD) - 1L - 20
169	Thùng	THI0165	Thùng IDA gói 12gr x 400 gói (43.5x33.5x28.5cm) - Trắng xanh lá	Vi lượng Quantity New	HH0165	GC - II - 577 - A Thời GNH - Flower + (Chai HD) - 1L - 20
170	Thùng	THI0166	Thùng IDA chai HDPE/PAPE PICOSUPER 280SC 250ml, 240ml, 200ml x 40 chai (49.5x30.5x15cm) - Trắng xanh lam	Vi lượng Quantity New	HH0166	GC - II - 578 - A Thời GNH - Kamax (Chai HD) - 100ml - 100
171	Thùng	THI0167	Thùng IDA chai FLOWER TOP 450ml x 40 chai (51.5x32x23.5cm) - Trắng xanh lá	Vi lượng Quantity New	HH0167	GC - II - 579 - A Thời GNH - Kitotra (Chai HD) - 500ml - 40
172	Thùng	THI0168	Thùng IDA chai PET trong Thành Phát 450ml x 40 chai (51.5x32x23.5cm) - Trắng xanh lá	Vi lượng Quantity New	HH0168	GC - II - 580 - A Thời GNH - Ra rễ nở bụi (Chai HD) - 500ml - 40
173	Thùng	THI0169	Thùng IDA chai HDPE tròn 480ml x 40 chai/ 20 hộp (60.5x38x21cm) - Trắng xanh lá 	Vi lượng Quantity New	HH0169	GC - II - 581 - A Thời GNH - Bung Chồi Vọt Đọt (Cây có múi) (Chai HD) - 500ml - 40
174	Thùng	THC0170	Thùng chung Chai HDPE 500ml x 40 chai  (64.5x40.5x19cm) - Trắng trơn	Vi lượng Quantity New	HH0170	GC - II - 581 - A Thời GNH - Bung Chồi Vọt Đọt (Cây có múi) (Chai HD) - 500ml - 40
175	Thùng	THI0171	Thùng IDA chai tròn 1 lít x 20 chai (20 gói/ thùng) - (45.5x35.5x27cm) - Trắng xanh lá	Vi lượng Quantity New	HH0171	GC - II - 582 - A Thời GNH - Siêu Bung Đọt (Chuyên Mai) (Chai HD) - 500ml - 40 ([btp],n,c)
176	Thùng	THI0172	Thùng IDA can 5 Lít x 4 can (40.5x32.5x25cm) - Trắng xanh lá 	Vi lượng Quantity New	HH0172	GC - II - 583 - A Thời GNH - Siêu ra hoa (Chai HD) - 500ml - 40
177	Thùng	THI0173	Thùng IDA Chai Pet Vuông 35 450ml -500ml x 40 chai (44.5x39x20cm) - Trắng xanh lá	Vi lượng Quantity New	HH0173	GC - II - 583 - A Thời GNH - Siêu ra hoa (Chai HD) - 500ml - 40
178	Thùng	THC0174	Thùng SEIKO đựng 12 hộp (62.5x35x21.7cm) - Trắng cam	Vi lượng Quantity New	HH0174	GC - II - 584 - A Thời GNH - Siêu rau quả (Chai HD) - 500ml - 40
179	Thùng	THC0175	Thùng NEWTECH Chai HD tròn 500ml x 40 chai (60 x 38 x 20cm) - Trắng viền xanh lá  	Vi lượng Quantity New	HH0175	GC - II - 584 - A Thời GNH - Siêu rau quả (Chai HD) - 500ml - 40
180	Thùng	THC0176	Thùng Toàn Cầu - Relax Extra chai 250ml 40chai/ thùng ( 51.5 x33x16.5cm)- Trắng viền xanh lá 	Vi lượng Quantity New	HH0176	GC - II - 585 - A Thời GNH - Siêu tăng trưởng (Chai HD) - 1L - 20
181	Thùng	THC0177	Thùng chung ABA 100ml, 120ml x 50 chai (50.5x26x12cm) - Trắng viền đen 	Vi lượng Quantity New	HH0177	GC - II - 585 - A Thời GNH - Siêu tăng trưởng (Chai HD) - 1L - 20
182	Thùng	THC0178	Thùng NEWTECH Chai PET vuông 450ml x 30 chai (44.5x32x19cm) - Trắng viền xanh 	Vi lượng Quantity New	HH0178	GC - II - 587 - A Thời GNH - Siêu Vô gạo (Chai HD) - 500 ml - 40
183	Thùng	THC0180	Thùng Agritech 100gr x 100, 120, 150 gói (47.5x41.5x28cm) - Trắng viền xanh dương 	Vi lượng Quantity New	HH0180	GC - II - 588 - A Thời GNH - Siêu mạnh cá hồi (Chai HD) - 1L - 20
184	Thùng	THC0181	Thùng Agritech 1kg x 20, 25 gói(50x35x28.5cm) - Trắng viền xanh dương 	Vi lượng Quantity New	HH0181	GC - II - 588 - A Thời GNH - Siêu mạnh cá hồi (Chai HD) - 1L - 20
185	Thùng	THC0182	Thùng Agritech chai HD 1 lít x 20 chai (45x35.5x26.5cm) - Trắng viền xanh dương 	Vi lượng Quantity New	HH0182	GC - II - 589 - A Thời GNH - Super Fruit (Chai HD) - 500ml - 40
186	Thùng	THC0183	Thùng Agritech chai PET tròn 450ml x 40 chai (63x39x21cm) - Trắng viền xanh dương 	Vi lượng Quantity New	HH0183	GC - II - 590- A Thời GNH - Super Root (Chai HD) - 100ml - 100
187	Thùng	THC0184	Thùng Shino chai PET tròn 240ml ,250ml x 40 chai (47x29.5x15.5 cm) - Trắng viền tím 	Vi lượng Quantity New	HH0184	GC - II - 591 - A Thời GNH - Chuyên lác (Chai HD) - 1L - 20
188	Thùng	THC0185	Thùng Quang Đăng chai HD vuông 500ml x 40 chai (46x35.5x19cm) - Trắng viền xanh dương	THALONIL 75WP	HH0185	GC - I - 592 - Thiên Di - Thalonil 75WP (flexo) - 100gr - 100
189	Thùng	THC0186	Thùng Quang Đăng can 10 lít x 2 can (41.5x24.5x32cm) - Trắng viền xanh dương	COCHAY 200SL	HH0186	GC - II - K - 594 - MK Group - Cỏ Cháy Thế Hệ Mới (chai PET vuông) - 900ml- 20
190	Thùng	THC0187	Thùng Shino 200 gói, 500ml x 30 chai (50x41.5x20cm) - Trắng đỏ	COCHAY 200SL	HH0187	GC - II - K - 594 - MK Group - Cỏ Cháy Thế Hệ Mới (chai PET vuông) - 900ml- 20
191	Thùng	THC0188	Thùng Shino chai PET tròn 450ml x 30 chai (48x40x20cm) - Trắng cam	CHAYRUI 150SL	HH0188	GC - II - MK Group - 595 - Cháy cỏ khai hoang (PET vuông) - 900ml - 20
192	Thùng	THC0189	Thùng Shino 200 gói, hộp x 30 cái (51.5x43x20cm) - Trắng đỏ	Remy 19EC	HH0189	GC - II - 596 - MK Group - Remy 19EC (chai tròn) - 450ml - 40
193	Thùng	THI0190	Thùng IDA gói Centertaner lớn 50gr x 100 gói (48.5x36.5x16.5cm) - Trắng xanh lá 	Tikabamec 3.6EC	HH0190	GC - II - 597 - MK Group - Amec 3.6EC (Pet tròn) (nước trong) (thân trắng, nắp trắng) - 450ml - 40
194	Thùng	THC0191	Thùng NEWTEX hộp Oằn bông x 20 hộp (57.5x41x22cm) - Trắng viền đỏ	Tikabamec 3.6EC	HH0191	GC - II - 597.1 - MK Group - Amec 3.6EC (nước nâu)(Pet tròn) (thân trắng, nắp đỏ) - 450ml - 40
195	Thùng	THC0192	Thùng QUANG ĐĂNG chai HD vuông 250ml x 40 chai (53.5x35.5x15.5cm) - Trắng viền xanh dương	Mekongvil 5SC	HH0192	GC - II - 598 - MK Group - Siêu Trừ Bệnh (Pet tròn) - 1 lít - 20
196	Thùng	THC0193	Thùng QUANG ĐĂNG chai HD 1 lít x 20 chai (45.5x36x25.5cm) - Trắng viền xanh dương	TVZEB 800WP	HH0193	GC - II - 599 - MK Group - Mancozeb xanh - 1kg - 20
197	Thùng	THC0194	Thùng ABA chai PET trong 100ml x 100 chai (45.5x45.5x12cm) - Trắng viền đen 	TVZEB 800WP	HH0194	GC - II - 599 - MK Group - Mancozeb xanh - 1kg - 20
198	Thùng	THC0195	Thùng NAUY 600ml x 40 chai/ thùng (66.5x 40x 25.5cm) - Nâu, không cán màng	DRAGONTIN 370SC	HH0195	GC - II - 600 - MK Group - Rồng Lửa (Pet tròn) - 100ml - 100
199	Thùng	THC0196	Thùng chung ABA chai PET vuông 500ml x 40chai (51x37x19cm) - Trắng viền đen	Vi lượng Basel IDA 46	HH0196	IDA Global - I - 602 - Amazon 80 (chai HD) - 100ml - 100
200	Thùng	THC0197	Thùng NAUY chai 500ml x40 chai/ thùng (64x40x18cm) - Nâu, không cán màng	Prima 04	HH0197	GC - II - 603 - Agritech - Humik - 1 kg - 25
201	Thùng	THC0198	Thùng Dùng Chung ABA 100gr x 100 lon (56.5x28.5x19cm) - Trắng viền đen	Vi lượng Basel IDA 50	HH0198	LOT IDA Global - I - 604 - TT - Power (5 sao) - 500ml - 40
202	Thùng	THC0199	Thùng Dùng Chung Hà Long 1000ml x 20 chai- Trắng 	Vi lượng Basel IDA 47	HH0199	LOT IDA Global - I - 605 - TT - Flower Top (05 sao)- 500ml - 40
203	Thùng	THC0200	Thùng GRU SELEC ONE 100ml x 100 chai (35x26x23.5cm) - Trắng viền xanh biển 	Oxycin 100WP	HH0200	LOT IDA Global - I - 606 - TT - Sạch khuẩn - 25gr - 300
204	Thùng	THC0179	Thùng NEWTECH Chai HD tròn cao 500ml x 40 chai (58x36.5x20.5cm) - Trắng viền xanh lá  	Pim.Pim 75WP	HH0179	LOT IDA Global - I - 607 - TT - Sạch đạo ôn - 25gr - 300
205	Tấm vách 	VT0176	Tấm vách thùng (49x29)	Pim.Pim 75WP	HH0176	LOT IDA Global - I - 608 - TT - Sạch đạo ôn - 35gr - 300
206	Thùng	VT0177	Túi Zip (15x25)	DREAM 480SL	HH0177	GC - K - 609 - Thuốc Dream 480SL - 609 - 900ml - 20
207	Thùng	THI0201	Thùng IDA Chai HD tròn 500ml x 40chai (60x37.5x19cm) - Trắng viền xanh lá  	Mekongvil 5SC	HH0201	GC - II - 611 - AGC NEW- Gvil 5SC (mới) (HD) - 1 Lit - 20 (btp,nl)
208	Thùng	THI0202	Thùng IDA 100gr x100 gói (47.5x41.5x28cm) - Trắng xanh lá 	Tikabamec 3.6EC	HH0202	GC - II - 612 - AGC NEW - Bamec 3.6 (Nước Trong) (Pet tròn) - 450ml - 40
209	Thùng	THC0203	Thùng NEWTECH Chai 200ml, 220ml, 250ml x 40 chai (51.5x32.5x15cm) - Trắng viền xanh lá 	Apple 700WP	HH0203	GC - II - 613 - AGC NEW - Ple 700WP - 70 gr - 100
210	Thùng	THC0204	Thùng MASTER WIN chai HD vuông 1 lít x 20 chai (45x30x24cm) - Trắng viền đen 	CHAYRUI 150SL	HH0204	GC - II - AGC - 614 - Cháy cỏ khai hoang (PET vuông) - 900ml - 20
211	Thùng	THC0205	Thùng Korea chai HDPE 500ml x 30 chai (42x35x24.5cm) - Trắng viền xanh dương	CHIM ƯNG 3.8EC	HH0205	GC - II - 615 - AGC NEW - Mite - Killer (chai nhôm đỏ) - 240ml - 40
212	Thùng	THC0206	Thùng Shino chai HDPE 500ml x 30 chai (45.5x38x21cm) - Trắng nâu	CHIM ƯNG 3.8EC	HH0206	GC - II - 618 - AGC NEW - Leafroll (chai nhôm đỏ) - 240ml - 40
213	Thùng	THC0207	Thùng Dùng Chung  ABA chai HDPE 500ml x 40 chai (59.5x 37.5x18.5cm) - Trắng viền đen	Oxycin 100WP	HH0207	IDA Global - I - 621 - Vi Khuẩn Thái (Drone) - 100gr - 100
214	Thùng	THC0208	Thùng NEWTECH Chai HD 500ml x 30 chai (43.7x36.5x20.5cm) - Trắng viền xanh lá 	TOPZOLE 800WG	HH0208	GC - II - 622 - MK Group - Siêu Trừ Đạo Ôn Vi Khuẩn - 15.6 gr - 300
215	Thùng	THC0209	Thùng GRU VUA KHỦNG LONG 450ml x 30 chai (41.6x35x20.5cm) - Trắng viền đen	TOPZOLE 800WG	HH0209	GC - II - 622 - MK Group - Siêu Trừ Đạo Ôn Vi Khuẩn - 15.6 gr - 300
216	Thùng	THI0210	Thùng IDA 100gr x 100, 300 gói (44.5x37.5x21cm) - Trắng xanh lá 	THALONIL 75WP	HH0210	GC - II - 624 - MK Group - Siêu Trừ Nấm (flexo) - 250gr - 60
217	Thùng	THC0211	Thùng PERKADO 500EC 100ml x 120chai x 30 hộp (53x32x23cm) - Trắng viền đen	Vi lượng AV-CFC Plus	HH0211	GC - I - 626 - AU - Organic IQ - 50ml - 200
218	Thùng	THI0212	Thùng IDA gói 12gr x 400 gói (44.5x38.5x30cm) - Trắng xanh lá	COCHAY 200SL	HH0212	GC - II - K - 627 - HC- Cochay 200SL (chai PET vuông) - 900ml- 20
219	Thùng	THC0213	Thùng Dùng Chung ABA chai HD vuông 1 lít x 20 chai (45x30.5x24cm) - Trắng viền đen 	TVZEB 800WP	HH0213	LOT IDA Global - I - 628 - VTNN HN - Mancozeb xanh - 1 kg - 20
220	Thùng	THC0214	Thùng Dùng Chung ABA chai HD vuông 240, 250ml x 40 chai (42x30x14.5cm) - Trắng viền đen 	TVZEB 800WP	HH0214	LOT IDA Global - I - 628 - VTNN HN - Mancozeb xanh - 1 kg - 20
221	Thùng	THC0215	Thùng DAVI chai Pet 500ml x 40 chai (55x34.5x21.5cm) - Trắng viền xanh dương 	CHIM ƯNG 3.8EC	HH0215	GC - II - 629 - AGC - Redmite (Chim Ưng) (chai nhôm đỏ) - 240ml - 40
222	Thùng	THC0216	Thùng O2L chai Pet vuông 500ml x 40 chai (44.5x38.5x20cm) - Trắng viền xanh lá	Remy 19EC	HH0216	GC - II - 630 - KAFF - Remy 19EC - 500ml - 40
223	Thùng	THC0217	Thùng O2L chai Pet tròn 500ml x 40 chai x 40 hộp/ thùng (67x42.5x20cm) - Trắng viền xanh lá	Centertaner 500WP	HH0217	GC - II - 631 - MK Group - Siêu Diệt Khuẩn - 10.5 gr - 500
224	Thùng	THC0218	Thùng ASAHI NHẬT BẢN can 5L x 4 can (40.5x32.5x25cm) - Trắng xanh đậm	RAYXANH 200WP	HH0218	GC - II - 632 - MK Group - Ray xanh - 80gr - 150
225	Thùng	THC0219	Thùng ASAHI NHẬT BẢN chai 500ml x 40 chai (59.5x37.5x18.5cm) - Trắng xanh đậm	THALONIL 75WP	HH0219	GC - II - 633 - AGC NEW - Alonil 75WP (flexo) - 250gr - 60
226	Thùng	THC0220	Thùng NEWTEX chai 500ml hộp cặp đôi (19.5x57x36.5cm) - Trắng viền đỏ	TOPZOLE 800WG	HH0220	GC - II - 634 - AGC NEW- Pzole 800 WG - 18 gr - 300
227	Thùng	THC0221	Thùng Dùng Chung ABA chai PET 100ml x 100 chai (55x28x22cm) - Trắng viền đen	TOPZOLE 800WG	HH0221	GC - II - 634 - AGC NEW- Pzole 800 WG - 18 gr - 300
228	Thùng	THC0222	Thùng BETA chai HD có hộp 500ml x 30 chai (47x39.5x22cm) - Trắng viền cam 	TOPNATI 281EW	HH0222	GC - II - 635 - AGC NEW- Nati 281EW (chai PET tròn)- 240ml - 40
229	Thùng	THC0223	Thùng Sen Hồng HD chai vuông 500ml x 30 chai (42.5x29.5x19cm) - Trắng viền xanh lá 	RAYXANH 200WP	HH0223	GC - II - 636 - AGC NEW - Ray xanh - 80gr - 150
230	Thùng	THI0224	Thùng IDA chai HDPE tròn 500ml x 40 chai (56.5x36.5x21cm) - Trắng xanh lá 	COCHAY 200SL	HH0224	GC - II - K - 637 - AGC NEW - Cochay N0.3 (chai vuông) - 900ml- 20
231	Thùng	THC0225	Thùng Thiên Di chai HD logo Thiên Di 500ml x 40 chai (64.5x40.5x18.5cm) - Trắng viền xanh lá	Centertaner 500WP	HH0225	GC - II - 638 - AGC NEW - Centertaner 500 WP - 12.5 gr - 500
232	Thùng	THI0226	Thùng IDA Chai HDPE/PAPE tròn cổ 43 250ml - (49.5x30.5x14.5) - Trắng xanh lá	Centertaner 500WP	HH0226	GC - II - 638.1 - AGC NEW - Centertaner 500 WP - 12.5 gr - 250
233	Thùng	THC0227	Thùng Thuỵ Sĩ Mancobgo 1 Kg x 20 gói (50x35x30.5cm) - Trắng viền xanh dương	ASMILTATOPSUPER 400SC	HH0227	GC - II - 639 - AGC NEW- Atopsuper 400SC (chai PET tròn)- 240ml - 40
234	Thùng	THC0228	Thùng Dùng Chung  15gr  x 400 gói (55.5x39x34cm) - Trắng	APLOUGENT 450SC	HH0228	GC - II - 640 - AGC NEW - Lougent 450SC (chai PET tròn) - 240ml - 40
235	Thùng	THC0229	Thùng NAUY 600ml x 40 chai  (57.5x36.5x33.8cm) -Trắng trơn 	Kamycinjapane 20SL	HH0229	GC - II - 641 - AGC NEW - Japane 20SL (chai tròn) - 450ml - 40
236	Thùng	THC0230	Thùng Sunrise chai tròn 250ml x 40 chai (51.5x33x16.5cm) - Trắng viền đỏ 	Remy 19EC	HH0230	GC - II - 643 - AGC NEW - Emy 19EC (chai PET tròn) - 450ml - 40
237	Thùng	THC0231	Thùng NAUY 600ml x 40 chai  (66.5x40x25.5cm) -Trắng trơn 	Tikabamec 3.6EC	HH0231	GC - II - 644 - AGC NEW - Bamec 3.6 (Pet tròn) (nước đục) - 450ml - 40
238	Thùng	THC0232	Thùng Dùng Chung Hà Long 220ml x 40 chai - Trắng	TVZEB 800WP	HH0232	GC - II - 645 - AGC NEW - Mancozeb 800 Xanh - 1 kg - 20
239	Thùng	THC0233	Thùng NAUY chai 500ml x40 chai/ thùng (64x40x18cm) - Trắng, cán màng	TVZEB 800WP	HH0233	GC - II - 645 - AGC NEW - Mancozeb 800 Xanh - 1 kg - 20
240	Thùng	THC0234	Thùng VISANTO chai PET vuông 500ml x 40 chai x thùng (55x38x18cm) - Trắng vàng	Vi lượng AV-CFC Plus	HH0234	GC - II - 646 - Dưỡng Cây Mập Chồi 500 ml - 40
241	Thùng	THC0235	Thùng Dùng Chung 100 gói (38x26.5x15.5cm) - Trắng	Solonapy 300SC	HH0235	IDA Global - I - 647 - ĐL Cô Ba -Cá mập 300 plus - 240ml - 40
242	Thùng	THC0236	Thùng Ami Sakura - 800ml x 24 chai  (Dasaco) - Nâu viền xanh dương đậm	Prima 04	HH0236	GC - II - 648 - AU - Humix - 1 kg - 25
243	Thùng	THC0237	Thùng Dubai 1kg x 20 gói (61x37x28.7cm) - Nâu, không cán màng	Prima 04	HH0237	GC - II - 648 - AU - Humix - 1 kg - 25
244	Thùng	THC0238	Thùng SHINO chai 325ml x 40 chai (55.5x35.5x15.5cm) - Trắng viền xanh	INMANDA 100WP	HH0238	GC - II - 650 - MK Group - Anda 100WP - 100gr - 100
